datetime,ip,method,path,status,size,referer,user_agent,label;;;
2026-04-25T14:54:04.782117-05:00,181.214.167.148,GET,/index.html,200,165956,https://empresa.local/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T14:54:22.782117-05:00,179.11.143.61,GET,/productos/1001,304,0,https://portal.empresa.local/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T14:54:37.782117-05:00,133.248.13.156,GET,/checkout,200,123247,https://portal.empresa.local/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T14:56:27.782117-05:00,164.228.229.188,GET,/favicon.ico,204,0,https://linkedin.com/,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,normal;;
2026-04-25T14:57:32.782117-05:00,155.132.212.17,GET,/assets/style.css,200,45554,-,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,normal;;
2026-04-25T14:57:38.782117-05:00,15.176.86.171,HEAD,/login,401,1348,-,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,brute_force;;
2026-04-25T15:00:09.782117-05:00,169.189.92.56,POST,/nosotros,403,118490,https://www.google.com/,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,normal;;
2026-04-25T15:00:45.782117-05:00,7.115.105.105,POST,/status?ip=8.8.8.8|whoami,500,77643,-,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,command_injection;;
2026-04-25T15:00:58.782117-05:00,43.163.17.190,GET,/buscar?q=laptop,400,28219,https://empresa.local/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:01:14.782117-05:00,73.32.170.3,GET,/productos,200,194996,https://www.google.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:03:27.782117-05:00,112.20.224.42,GET,/logout,301,151154,https://linkedin.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:07:41.782117-05:00,223.80.96.128,GET,/assets/style.css,403,141202,https://www.google.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:07:45.782117-05:00,180.15.4.15,GET,/login,404,74229,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:07:45.782117-05:00,168.154.146.198,GET,/productos,200,79229,https://www.bing.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:09:15.782117-05:00,163.171.38.228,GET,/checkout,200,249410,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:11:10.782117-05:00,132.163.138.39,GET,/dashboard,200,120362,https://portal.empresa.local/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:13:49.782117-05:00,35.233.107.130,POST,/favicon.ico,301,103965,https://www.bing.com/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:14:37.782117-05:00,206.44.54.224,GET,/contacto,304,0,https://www.bing.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:17:44.782117-05:00,125.94.25.188,POST,/dashboard,200,67741,https://www.google.com/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:17:54.782117-05:00,73.142.107.165,GET,/assets/style.css,401,182044,https://www.google.com/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:18:06.782117-05:00,26.155.233.236,GET,/blog/seguridad-digital,302,29405,https://www.google.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:18:10.782117-05:00,63.188.61.170,HEAD,/ping?host=127.0.0.1;cat /etc/passwd,404,48058,-,curl/8.1.2,command_injection;;
2026-04-25T15:18:15.782117-05:00,32.128.77.230,GET,/blog/seguridad-digital,301,151617,https://empresa.local/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:19:52.782117-05:00,141.34.70.64,GET,/images/logo.png,200,64973,https://linkedin.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:20:20.782117-05:00,102.247.89.48,GET,/images/logo.png,304,0,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:20:43.782117-05:00,206.201.139.242,POST,/favicon.ico,201,26614,https://empresa.local/,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,normal;;
2026-04-25T15:21:09.782117-05:00,194.152.79.44,GET,/images/logo.png,200,40688,https://www.google.com/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:21:46.782117-05:00,172.100.121.190,GET,/nosotros,200,194835,https://portal.empresa.local/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:22:22.782117-05:00,106.171.15.167,POST,/.env,200,12489,-,Nmap Scripting Engine,scanner_recon;;;
2026-04-25T15:22:34.782117-05:00,133.25.127.245,GET,/checkout,204,0,-,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:23:51.782117-05:00,87.166.178.109,GET,/assets/style.css,304,0,https://portal.empresa.local/,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,normal;;
2026-04-25T15:25:16.782117-05:00,19.183.86.225,GET,/dashboard,401,54522,https://www.google.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:25:34.782117-05:00,92.65.145.1,POST,/favicon.ico,400,190448,https://www.google.com/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:27:35.782117-05:00,15.155.10.203,GET,/,302,136301,https://empresa.local/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:29:00.782117-05:00,46.116.5.255,POST,/productos,200,190189,https://www.bing.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:29:28.782117-05:00,31.80.225.171,GET,/home,404,11963,https://empresa.local/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:29:56.782117-05:00,4.42.194.96,GET,/images/logo.png,204,0,https://empresa.local/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:31:24.782117-05:00,87.99.46.31,GET,/blog/seguridad-digital,403,76791,https://portal.empresa.local/,Mozilla/5.0 (Android 13; Mobile) AppleWebKit/537.36 Chrome/120.0 Mobile Safari/537.36,normal;;
2026-04-25T15:31:48.782117-05:00,93.84.55.187,GET,/api/v1/profile,201,162409,https://linkedin.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:31:54.782117-05:00,35.135.242.136,GET,/home,204,0,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:31:56.782117-05:00,214.8.161.0,POST,/contacto,204,0,https://linkedin.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:35:44.782117-05:00,217.160.53.169,GET,/productos/1001,200,126179,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:36:53.782117-05:00,88.246.53.145,POST,/carrito,301,211414,https://www.bing.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5) AppleWebKit/605.1.15 Version/16.6 Safari/605.1.15,normal;;
2026-04-25T15:37:39.782117-05:00,57.8.254.45,GET,/buscar?q=laptop,200,128922,https://www.bing.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0 Safari/537.36,normal;
2026-04-25T15:38:10.782117-05:00,123.177.223.17,POST,/blog/seguridad-digital,301,180878,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148 Safari/604.1,normal;;
2026-04-25T15:39:59.782117-05:00,47.209.199.118,GET,/assets/app.js,200,42740,-,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,normal;;
2026-04-25T15:40:17.782117-05:00,74.127.240.159,POST,/admin/login,401,966,https://www.google.com/,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/123.0,brute_force;;
